100945088,1293036,52
100945088,1391767,52
100945088,1391951,58
100945088,1638481,56
100945088,1783906,60
100945088,18861490,79
100945088,22822862,64
100945088,25791607,52
100945088,26111937,66
100945088,26672926,56
100945088,29710964,58
100945088,29774728,56
100945088,29774729,56
100945088,373001,56
100945088,3929023,60
100945088,3935139,52
100945088,4010734,62
100945088,4010892,66
100945088,528272429,100
100957836,28953010,84
100957836,36229060,51
100957836,36895537,51
100957836,440353010,100
100957836,476081885,70
101453458,101833,80
101453458,101866,79
101453458,212430,56
101453458,26243686,65
101453458,26393865,63
101453458,28679443,89
101453458,29800687,78
101453458,31421958,86
101453458,396354,100
101453458,423118976,60
101453458,5199457,66
101453458,526118754,58
101453458,5264843,64
101453458,529257644,67
101453458,691506,57
101453458,93190,71
101453458,94961,57
101458953,30284319,100
101548986,22809652,56
101548986,27548258,72
101548986,29449491,52
101548986,30284319,66
101548986,32098091,66
101548986,32358691,51
101548986,33516495,71
101548986,38574225,60
101548986,409649183,85
101548986,41643646,59
101548986,424474124,64
101548986,460605,100
101548986,460609,68
101995604,28702321,100
101995604,408332523,51
102200120,25713016,59
102200120,27965176,100
102200120,29047169,57
102200120,32752249,59
102200120,368727,54
102200120,498607,57
102283601,1919382,61
102283601,2112734,52
102283601,242603,66
102283601,26090155,78
102283601,27506597,85
102283601,276294,100
102283601,28285910,80
102283601,28921684,54
102283601,29095561,52
102283601,32408263,52
102283601,34749354,57
102283601,36587577,76
102283601,38358214,69
102283601,4351614,52
102283601,460319,59
102283601,4873075,83
102283601,722932,57
102699468,1220376,60
102699468,139774,54
102699468,209823,91
102699468,28287116,63
102699468,28809116,73
102699468,28828613,95
102699468,29732300,89
102699468,29803287,73
102699468,30373777,53
102699468,32196517,52
102699468,32743519,82
102699468,33861445,56
102699468,34779260,56
102699468,36895537,73
102699468,39442115,69
102699468,41641203,53
102699468,427606780,100
102699468,475311996,78
102699468,490687121,54
102699468,643034,52
102699468,64634,56
102699468,718840,65
102714222,19945735,75
102714222,25731432,70
102714222,25731436,51
102714222,26092806,66
102714222,26624714,70
102714222,27406244,58
102714222,28283137,62
102714222,28661549,57
102714222,29544794,93
102714222,30375354,63
102714222,30798041,52
102714222,31654455,53
102714222,31789196,92
102714222,32102855,73
102714222,38019035,59
102714222,3935139,65
102714222,4010201,51
102714222,406072455,68
102714222,411259310,51
102714222,425280053,75
102714222,433018112,100
102714222,454606011,53
102714222,536570080,63
103329383,21725725,59
103329383,22816429,64
103329383,26508242,54
103329383,31381877,100
103329383,32507038,58
103329383,4904689,51
103329383,817880,67
103652577,28907016,68
103652577,4880502,100
103652577,531943,71
104646214,35566989,77
104646214,420922950,53
104646214,4899152,100
105662937,185878,81
105662937,186018,54
105662937,186046,64
105662937,350149,84
105662937,477982,100
105675511,26380298,51
105675511,26439759,53
105675511,30854596,60
105675511,31446250,54
105675511,31877207,53
105675511,406232,60
105675511,411907897,58
105675511,419594940,100
105675511,430208121,59
105675511,450553735,65
105675511,482636088,62
105675511,484058194,83
105675511,486999133,60
107228676,1690698,76
107228676,2061462,90
107228676,22688472,75
107228676,25657378,64
107228676,26092806,67
107228676,26215065,71
107228676,27571335,60
107228676,27864105,52
107228676,28160994,52
107228676,29043343,55
107228676,2925902,73
107228676,3037089,80
107228676,371362,100
107228676,480353,53
107228676,4960496,72
107228676,509905,52
107228676,5189652,73
107228676,5240779,59
107228676,729210,51
107228676,768749,71
10725883,22712173,75
10725883,27644359,87
10725883,29947420,62
10725883,3932159,54
10725883,404610,100
107262897,29999265,100
108709024,26116370,55
108709024,28406557,63
108709024,28411784,74
108709024,28563201,79
108709024,32958397,51
108709024,406232,53
108709024,406238,100
108709024,434902428,53
108709024,477913,58
108709024,654984,61
108709024,692193,64
108709024,730631,91
108739186,139774,90
108739186,26127161,80
108739186,26624725,61
108739186,857896,100
109704501,36471473,100
109772355,26355372,100
110334493,28815250,63
110334493,29713754,56
110334493,437292675,100
111238030,1212320,100
111238030,29386032,52
111257444,31654455,100
111257444,4279458,62
111304099,233281,73
111304099,27570641,69
111304099,27901231,73
111304099,28707142,66
111304099,28875230,87
111304099,29738289,86
111304099,29797698,53
111304099,312728,94
111304099,32405117,100
111304099,326738,68
111304099,35270898,87
111304099,371362,88
111304099,426290517,74
111304099,467390078,72
111304099,476987525,83
111304099,518863428,69
111304099,5240782,89
111304099,531295576,56
111304099,566436232,89
111304099,566442215,85
111304099,864489449,68
111304099,864489526,86
111325052,27901224,62
111325052,30394891,100
111365831,400876379,100
111572164,28907016,100
111572164,28952060,51
111572164,29734857,53
111572164,32743519,65
111572164,761317,52
112030864,1293003,54
112030864,159568,77
112030864,22006548,57
112030864,25639017,58
112030864,26609650,93
112030864,28302846,54
112030864,28830584,95
112030864,31134621,52
112030864,32823307,100
112030864,4341314,84
112030864,454757785,63
112030864,493950499,94
112030864,5079881,51
112030864,520570538,95
112030864,5330805,80
112030864,540042,60
112030864,563762640,70
112030864,668847,62
112030864,863464857,54
112310122,26137945,53
112310122,28661549,100
112310122,28765194,78
112310122,33682157,56
112310122,36586593,69
112310122,37169165,80
112524010,35345243,100
112524010,36990266,71
112524010,485756491,53
